"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"brakuje";0,000932084358670784;0;0;0;0;0,00196094625384568;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"brama";0;0;0;0;0,00358490895523575;0;0;0;0;0;0,00306697593337449;0;0;0;0;0;0;0;0
"brat";0,000932084358670784;0,0019352943406413;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
"brata";0;0;0,00192215510833954;0;0;0;0,00189008775128187;0,00215677426490059;0;0,0020665229812835;0,00545608900440856;0;0;0;0;0;0;0;0
"bro<f1>";0;0;0;0;0;0;0;0,00298204368725916;0;0,00285725859734166;0;0;0;0;0;0;0,00649503661639617;0;0
"broni<e6>";0,000504225618266007;0;0,001437697196992;0;0;0;0,0014137120622041;0,00161318319304141;0;0,0015456787461223;0,00136031406174314;0;0;0;0;0;0,00702718337261454;0;0
"brown";0;0,00236041243709563;0;0;0,00358490895523575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"budzi<e6>";0,00188659872593852;0,00156686411628092;0;0,00154220674106048;0,00118984824724202;0,000793816282769715;0,00211580473405549;0;0;0,00578327527897679;0,00101794382625238;0;0;0,0160895897313623;0;0;0;0;0
"butelka";0,00113683147127882;0;0,00972433387258559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"by<e6>";0,00113683147127882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"c<f3>rka";0;0,00279941775952939;0;0;0;0,0056730468882363;0;0;0;0;0,00181869633480285;0;0;0;0;0;0,0046975595574542;0,008266091925134;0
"ca<b3>owa<e6>";0;0,00163366825104912;0;0;0,00248115619585385;0;0;0,00251727605088867;0;0;0;0;0;0;0;0;0;0,0192955151368548;0
"ca<b3>y";0,00255254292612766;0,00240902984274139;0,0013232834585278;0,00284534340224219;0,00219524838649811;0,00292915322263224;0,00260241418144231;0,002227206089773;0;0,00213400755168164;0,00250411713965035;0;0;0;0;0;0,00161698783590836;0,00569068680448437;0
"cedrik";0,00682098882767291;0;0;0;0;0,0119584959994241;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedrika";0,00795782029895173;0;0;0;0;0,0119584959994241;0;0;0;0;0;0;0;0;0;0;0;0;0
"cedriku";0;0;0;0;0;0,00239169919988482;0;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
"cel";0,00058206685779574;0,00362565046378437;0;0,00713718889580442;0,00183550222154794;0,00122456922880886;0;0;0;0;0;0;0,00784417458831334;0;0;0;0;0;0
"cenny";0,00113683147127882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0139396030619896;0
"centaur";0;0;0;0;0;0,00196094625384568;0;0,00894613106177748;0;0,00285725859734166;0;0;0;0;0;0;0;0;0
